,,,,,,,,,
March-2024,Scheme Name,"No. of
Schemes
as on
March,
2024","No. of Folios
as on March,
2024","Funds
Mobilized
for the
month of
March 2024
(INR in
crore)","Repurchase/
Redemption
for the
month of
March 2024
(INR in
crore)","Net Assets
Under
Managemen
t as on
March, 2024
(INR in
crore)","Average Net
Assets Under
Managemen
t for the
month
March 2024
(INR in
crore)","No. of
segregat
ed
portfolio
s
created
as on
March,
2024","Net
Assets
Under
Manage
ment in
segregat
ed
portfoli
o as on
March,
2024
(INR in
crore)"
July-2022,Banking and PSU Fund,2 2,"3 ,13,127",5 92.13,"3 ,401.77","8 2,678.36","8 4,535.29",-,-
July-2022,Gilt Fund,2 1,"1 ,71,254",1 66.88,2 80.37,"1 5,136.72","1 5,158.72",-,-
July-2022,Gilt Fund with 10 year constant duration,4,"4 2,393",5 3.15,3 0.00,"1 ,988.09","1 ,959.46",-,-
July-2022,Floater Fund,1 2,"2 ,53,053","1 ,459.39","6 ,141.35","6 5,541.86","6 7,536.65",-,-
July-2022,"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",3 11,"7 2,46,237","7 ,77,274.75","7 ,72,344.67","1 2,46,425.81","1 3,33,684.79",1 0,2 46.93
-,-,-,-,-,-,-,-,-,-
July-2022,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
July-2022,Multi Cap Fund,1 4,"3 4,59,965","1 ,057.08",5 33.07,"5 9,303.98","5 6,450.78",-,-
July-2022,Large Cap Fund,3 0,"1 ,27,98,164","3 ,142.63","2 ,051.72","2 ,31,851.80","2 ,21,787.96",-,-
July-2022,Large & Mid Cap Fund,2 7,"7 1,81,262","2 ,328.99","1 ,209.20","1 ,17,218.53","1 ,11,700.45",-,-
July-2022,Mid Cap Fund,2 6,"9 2,45,074","2 ,599.35","1 ,354.68","1 ,68,438.05","1 ,60,389.80",-,-
July-2022,Small Cap Fund,2 4,"8 6,59,248","2 ,705.41",9 25.96,"1 ,13,332.11","1 ,08,472.12",-,-
July-2022,Dividend Yield Fund,8,"5 ,87,383",1 02.58,8 7.55,"9 ,946.11","9 ,524.38",-,-
July-2022,Value Fund/Contra Fund,2 2,"4 2,03,723","1 ,083.25",6 56.24,"8 2,030.24","7 8,483.18",-,-
July-2022,Focused Fund,2 6,"5 2,70,192","1 ,684.01",9 11.49,"9 9,933.56","9 5,291.31",-,-
July-2022,Sectoral/Thematic Funds,1 18,"1 ,24,55,778","3 ,156.32","2 ,940.85","1 ,54,214.16","1 ,48,315.21",-,-
July-2022,ELSS,3 9,"1 ,42,34,392","1 ,320.54",9 92.69,"1 ,47,910.92","1 ,41,039.13",-,-
July-2022,Flexi Cap Fund,3 1,"1 ,21,57,663","3 ,473.89","2 ,092.34","2 ,31,327.51","2 ,20,776.98",-,-
July-2022,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),3 65,"9 ,02,52,844","2 2,654.05","1 3,755.80","1 4,15,506.96","1 3,52,231.30",-,-
-,-,-,-,-,-,-,-,-,-
July-2022,Hybrid Schemes,-,-,-,-,-,-,-,-
July-2022,Conservative Hybrid Fund,2 1,"5 ,13,330",3 53.19,3 33.38,"2 1,715.43","2 1,483.82",1,-
July-2022,Balanced Hybrid Fund/Aggressive Hybrid Fund,3 2,"5 1,91,744","2 ,166.56","1 ,480.38","1 ,50,660.23","1 ,45,724.53",2,9 .33
July-2022,Dynamic Asset Allocation/Balanced Advantage Fund,2 5,"4 3,86,473","2 ,692.38","2 ,138.44","1 ,86,630.06","1 ,83,463.51",-,-
July-2022,Multi Asset Allocation Fund,9,"8 ,29,737",3 88.25,2 10.49,"2 0,404.37","2 0,825.41",-,-
July-2022,Arbitrage Fund,2 5,"5 ,00,402","3 ,552.06","9 ,959.61","8 9,117.44","1 ,06,812.63",-,-
July-2022,Equity Savings Fund,2 2,"3 ,66,728",3 88.47,5 64.95,"1 7,079.97","1 7,592.83",2,2 5.81
July-2022,Sub Total - III (i+ii+iii+iv+v+vi),1 34,"1 ,17,88,414","9 ,540.92","1 4,687.24","4 ,85,607.50","4 ,95,902.72",5,3 5.14
-,-,-,-,-,-,-,-,-,-
July-2022,Solution Oriented Schemes,-,-,-,-,-,-,-,-
July-2022,Retirement Fund,2 5,"2 6,98,992",1 58.27,9 6.63,"1 6,764.79","1 6,225.78",-,-
July-2022,Childrens Fund,1 0,"2 9,00,909",8 5.89,3 6.61,"1 3,401.98","1 2,989.08",-,-
July-2022,Sub Total - IV (i+ii),3 5,"5 5,99,901",2 44.16,1 33.24,"3 0,166.77","2 9,214.86",-,-
-,-,-,-,-,-,-,-,-,-
July-2022,Other Schemes,-,-,-,-,-,-,-,-
July-2022,Index Funds,9 5,"2 7,51,698","7 ,779.80","1 ,000.57","9 4,589.49","8 8,605.98",-,-
July-2022,GOLD ETF,1 1,"4 6,42,602",0 .96,4 57.71,"2 0,037.76","1 9,987.66",-,-
July-2022,Other ETFs,1 26,"1 ,15,34,916","1 1,021.11","3 ,386.08","4 ,36,116.37","4 ,13,003.15",-,-
July-2022,Fund of funds investing overseas,4 6,"1 2,60,136",5 64.30,2 51.25,"2 1,175.64","2 0,135.89",-,-
July-2022,Sub Total - V (i+ii+iii+iv),2 78,"2 ,01,89,352","1 9,366.17","5 ,095.61","5 ,71,919.25","5 ,41,732.67",-,-
-,-,-,-,-,-,-,-,-,-
July-2022,Total A-Open ended Schemes,"1 ,123","1 3,50,76,748","8 ,29,080.04","8 ,06,016.55","3 7,49,626.29","3 7,52,766.34",1 5,2 82.07
-,-,-,-,-,-,-,-,-,-
July-2022,Close Ended Schemes,-,-,-,-,-,-,-,-
July-2022,Income/Debt Oriented Schemes,-,-,-,-,-,-,-,-
July-2022,Fixed Term Plan,9 4,"8 9,730","1 ,430.03",8 31.21,"1 4,486.62","1 3,715.77",-,-
July-2022,Capital Protection Oriented Schemes,1 0,"1 6,229",-,-,8 14.44,8 09.02,-,-
July-2022,Infrastructure Debt Fund,8,8 0,-,-,"2 ,046.44","2 ,042.88",-,-
